	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.FUV.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
Ech1.30Zm0.25T03.5000_iTp0.00_baseFe.txt	30.668871523231367	30.82798648800844	30.953993207433136	33.46425749735089	33.270266056559656	32.757610484988696	32.61485817274255	32.02811161179262	31.518388223142615	31.167269859885714	32.20938974342996	31.269966529435855	31.592180309622243	33.75196999343692	31.16972444001359	31.578208941286896	32.020638326161965	31.267516203240014	34.5995031764889	34.954084946370195	31.687285404674533	32.4030730719631	31.39371511356689	31.905518974001417
Ech1.30Zm0.25T03.7500_iTp0.00_baseFe.txt	30.72516618288281	30.886020875157904	31.009184170470213	33.538199333330546	33.34651339203696	32.82880677030369	32.685699486540805	32.09459736156088	31.580831451882993	31.226619436463018	32.276517878542855	31.329526394987376	31.655417500494814	33.824792439954685	31.228186873560468	31.64010181826405	32.08602945831485	31.32748814634244	34.65772743508443	35.01753025696927	31.742996529176104	32.458041132446475	31.448280132907207	31.963289693810985
Ech1.30Zm0.25T04.0000_iTp0.00_baseFe.txt	30.79403230837014	30.95292234540205	31.078346354039148	33.61031142332816	33.419703861236464	32.90010408499662	32.75676155201251	32.16197860802453	31.644686676769645	31.292083623658407	32.34442503165533	31.394810330643246	31.719975201892105	33.89569705952119	31.29424754054967	31.70558869316232	32.15225702660823	31.392543448022074	34.72530490905475	35.09096862105371	31.813013831517488	32.52804916154948	31.517784247188423	32.031227753151946
Ech1.30Zm0.25T04.5000_iTp0.00_baseFe.txt	30.867419864900974	31.029989387964427	31.150608318353385	33.7332145649931	33.544434448127355	33.01641256956599	32.87140067492644	32.26489587855041	31.73612492215431	31.377302914160786	32.44965162780064	31.483150951691805	31.813781184125325	34.01574545976019	31.374510859318143	31.79737815464835	32.25210069388083	31.47976183923175	34.80314824483627	35.19086223775248	31.882951539443262	32.595413024602074	31.583679009806907	32.10863441658841
Ech1.30Zm0.25T05.0000_iTp0.00_baseFe.txt	30.957039828466044	31.120195399809255	31.239291762276018	33.85349848963015	33.66659343166261	33.12943791112158	32.98341259758457	32.369681596480056	31.83506483149025	31.473180301181976	32.55566823049548	31.57862925918534	31.913953532167135	34.13125691094091	31.46676100711303	31.895643154623492	32.35540274855453	31.57527241551002	34.89215139926157	35.282614268947206	31.97049695427352	32.67960283687379	31.6654415152746	32.19899715810481
Ech1.30Zm0.25T05.5000_iTp0.00_baseFe.txt	31.030870460562674	31.196283492167687	31.312480246030468	33.951470779831475	33.766079009291026	33.22379868202167	33.077720089534374	32.457096026143965	31.915190943444507	31.550555006888892	32.64385514222807	31.657673492397116	31.995631273538116	34.22577589316534	31.542920108078057	31.97667178098397	32.44049186310024	31.65408329868759	34.96951638129921	35.38126062427033	32.04170159766158	32.748929120699295	31.73247157911127	32.273886336101405
Ech1.30Zm0.25T06.0000_iTp0.00_baseFe.txt	31.09044079951385	31.25866175347324	31.371019073857063	34.047259471967855	33.86324831785797	33.31271588755836	33.165245825476454	32.535172247585216	31.984797873284627	31.61674886090332	32.723846827023586	31.722693779375824	32.06717552020063	34.316423276931424	31.606539092794144	32.04606114669571	32.5165757251338	31.719944519893836	35.03096503672901	35.45157777318814	32.099092198649565	32.804540613984976	31.786580755860648	32.33550875776705
Ech1.30Zm0.25T06.5000_iTp0.00_baseFe.txt	31.149919560058613	31.32175335791805	31.429164519648374	34.143285610569116	33.959977937591695	33.40082711956611	33.251306533152494	32.61213920350307	32.05255326205047	31.68163075625815	32.80220754236074	31.78849746000352	32.136755955089676	34.40996128148482	31.670274857221465	32.11488235910492	32.59082432005825	31.785954333880646	35.093958712624264	35.5273926668036	32.15613953167938	32.861874540087705	31.845993344976357	32.397761401931156
Ech1.30Zm0.25T07.0000_iTp0.00_baseFe.txt	31.231920467095016	31.404522214703697	31.51020335881119	34.23279102270809	34.05026389080037	33.487531666581496	33.33877361561691	32.6965369891201	32.133001652984184	31.762102730628975	32.88655692082876	31.868186369039044	32.21813412357201	34.49597398100351	31.751525651303176	32.196135922881204	32.673739684641625	31.86641023173805	35.174753789497935	35.613205693593294	32.235925861458036	32.9398518187245	31.923451718945437	32.47881578407637
Ech1.30Zm0.25T07.5000_iTp0.00_baseFe.txt	31.27405463014079	31.449818375976385	31.551232122266832	34.30677499141289	34.1244486301804	33.555780194836466	33.40526295124379	32.75583086216235	32.18533476574623	31.810856836918056	32.9469838040286	31.917958558543283	32.271977560581256	34.56777660756199	31.798289197107444	32.248526683342014	32.73110096283727	31.916187989748572	35.219693152979	35.66889183189749	32.2760834648298	32.979971325680204	31.964698764616962	32.52380571138723
Ech1.30Zm0.25T08.0000_iTp0.00_baseFe.txt	31.31526770652969	31.493637139412108	31.591062505235293	34.37747736822677	34.19493323114265	33.62095369458289	33.46902556931837	32.81239445735407	32.23561691831028	31.857791897211648	33.004945364055864	31.965749316832024	32.32372205313788	34.63537366462311	31.843355720320822	32.2989106030905	32.78614536204292	31.964195293969617	35.26218920220844	35.717809914803006	32.314175896371204	33.01639044900896	31.998638685948116	32.566202222051906
Ech1.30Zm0.25T08.5000_iTp0.00_baseFe.txt	31.35694048213177	31.538317548792925	31.63100504281926	34.44367554297403	34.26122994137588	33.6828141235769	33.52981138648645	32.86709991120615	32.28427517922581	31.903551970595323	33.0606552266405	32.01162644616118	32.3737045934734	34.69924662139291	31.888747414947538	32.34762863343334	32.83913843876065	32.01075120578377	35.306023200793355	35.767377960887195	32.35448642726815	33.05881702911356	32.04390055014171	32.61045240844671
Ech1.30Zm0.25T09.0000_iTp0.00_baseFe.txt	31.39677065105831	31.581185160906166	31.66926980072376	34.50786376242704	34.324986548953696	33.7431534532358	33.58853042054634	32.92004521542638	32.33156354905329	31.94788275318941	33.11454343748587	32.057916350547764	32.42239556010836	34.76092730309633	31.93200692338707	32.395640832416966	32.89050573994927	32.05709908647177	35.34573993646928	35.81228533335602	32.38948823228963	33.091642558485994	32.07288411497003	32.650540614047394
Ech1.30Zm0.25T09.5000_iTp0.00_baseFe.txt	31.435262277950947	31.621311952283897	31.707339263948988	34.56913857763721	34.3867550329884	33.80117497789188	33.6454626773401	32.97184252588463	32.37767430528495	31.991227970106188	33.16693969586384	32.10265899691813	32.46962623802465	34.820158279532116	31.973871814448067	32.44191127323254	32.94040784014654	32.10142545735339	35.386579115663885	35.85631879557541	32.42798516082323	33.1315753633394	32.1148851398297	32.69174579382635
Ech1.30Zm0.25T10.0000_iTp0.00_baseFe.txt	31.462365083467937	31.653067380321126	31.732282577193864	34.62553674073339	34.44271804282479	33.85194175846889	33.69388145924551	33.014121538904526	32.41341534990007	32.02366081323127	33.21049685794478	32.13464486012409	32.50686731031802	34.87491992816236	32.00587570105818	32.477538331816355	32.98104739169808	32.13468023650845	35.41561426382699	35.88786180192334	32.45165074939194	33.15437438669425	32.138917838280726	32.720965145707545
Ech1.30Zm0.25T10.5000_iTp0.00_baseFe.txt	31.499559294625705	31.692948634226617	31.7668850419628	34.681011033322456	34.497141785004295	33.90355293968282	33.74390247224152	33.05968783667635	32.453191980849574	32.062157271903665	33.2566392127704	32.172732228040935	32.5479147927666	34.92961583807966	32.044261717417406	32.51811751779683	33.0248038409507	32.173884254400654	35.450517330752454	35.926391136241385	32.48220123918501	33.17959548936606	32.159849127625755	32.75600703226646
Ech1.30Zm0.25T11.0000_iTp0.00_baseFe.txt	31.533538110559327	31.72882991972238	31.800983780982953	34.73877598510716	34.55351150702953	33.95528929101288	33.79408525558852	33.10379266220264	32.49111219609596	32.09961103996081	33.30177801705282	32.209156144894344	32.58726511111694	34.98746769874122	32.08142819658364	32.556905649794224	33.06728817332229	32.2108670604652	35.48780478407016	35.970314631072405	32.517589682727596	33.2185097149892	32.20192240425511	32.79331795972197
